,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
68,videoGame,Duke Nukem Forever,Duke Nukem Forever,0,2011,\N,\N,"Action,Adventure,Comedy"
69,movie,Aman Ke Farishtey,Aman Ke Farishtey,0,2016,\N,137,Action
70,movie,Nappily Ever After,Nappily Ever After,0,2018,\N,\N,"Comedy,Drama,Romance"
71,movie,A Walk Among the Tombstones,A Walk Among the Tombstones,0,2014,\N,114,"Crime,Drama,Mystery"
72,movie,Boy with a Movie Camera,Boy with a Movie Camera,0,2017,\N,\N,Documentary
73,movie,The Promise of Perfume,The Promise of Perfume,0,2017,\N,57,Documentary
74,movie,Jurassic World,Jurassic World,0,2015,\N,124,"Action,Adventure,Sci-Fi"
75,short,Death of a Nation,Death of a Nation,0,2010,\N,26,"Drama,Music,Short"
76,movie,Spy,Spy,0,2011,\N,110,"Action,Crime,Drama"
77,tvMiniSeries,The Pacific,The Pacific,0,2010,2010,530,"Action,Adventure,Drama"
78,movie,The Rum Diary,The Rum Diary,0,2011,\N,119,"Comedy,Drama"
79,movie,American Pastoral,American Pastoral,0,2016,\N,108,"Crime,Drama"
80,movie,Gnomeo & Juliet,Gnomeo & Juliet,0,2011,\N,84,"Adventure,Animation,Comedy"
81,movie,The Payback Man,The Payback Man,0,2010,\N,\N,"Crime,Drama,Thriller"
82,short,Turning It Over,Turning It Over,0,2010,\N,\N,"Drama,Short"
83,movie,Cloud Cuckoo Land,Cloud Cuckoo Land,0,2012,\N,92,Drama
84,movie,The Three Stooges,The Three Stooges,0,2012,\N,92,"Comedy,Family"
85,tvMiniSeries,The Crimson Petal and the White,The Crimson Petal and the White,0,2011,\N,274,"Drama,Romance"
86,movie,Motherless Brooklyn,Motherless Brooklyn,0,2019,\N,\N,"Crime,Drama"
87,video,Young Alexander the Great,Young Alexander the Great,0,2010,\N,90,"Action,Adventure,Mystery"
88,movie,Anderson's Cross,Anderson's Cross,0,2010,\N,98,"Comedy,Drama,Romance"
89,tvEpisode,Helicopters,Helicopters,0,2010,\N,44,"Documentary,History"
90,movie,Den milde smerte,Den milde smerte,0,2010,\N,280,Drama
91,tvSeries,Local 2 News,News2Houston,0,2013,\N,\N,News
92,movie,Tangled,Tangled,0,2010,\N,100,"Adventure,Animation,Comedy"
93,tvSeries,Wish ko lang,Wish ko lang,0,2015,\N,\N,Documentary
94,movie,The Connecticut Kid,The Connecticut Kid,0,2011,\N,87,Adventure
95,movie,John Carter,John Carter,0,2012,\N,132,"Action,Adventure,Sci-Fi"
96,movie,Capture the Flag,Capture the Flag,0,2010,\N,\N,Drama
97,movie,Burnt by the Sun 2,Utomlennye solntsem 2,0,2010,\N,181,"Drama,War"
98,movie,Action Jackson,Action Jackson,0,2014,\N,144,Action
99,movie,Gambit,Gambit,0,2012,\N,89,"Comedy,Crime"
100,movie,Bubbles,Bubbles,0,2011,\N,80,Drama
101,video,11:11,11:11,0,2011,\N,\N,"Crime,Drama"
102,movie,Seven Fallen Objects,Seven Fallen Objects,0,2011,\N,90,"Comedy,Drama"
103,movie,In Secret,In Secret,0,2013,\N,107,"Crime,Drama,Thriller"
104,movie,Cowboys & Aliens,Cowboys & Aliens,0,2011,\N,119,"Action,Sci-Fi,Thriller"
105,tvEpisode,Movie Theatre Tech,Movie Theatre Tech,0,2011,\N,\N,"Documentary,History"
106,movie,Tekken,Tekken,0,2010,\N,87,"Action,Crime,Drama"
107,movie,Asleep in the Sun,Dormir al sol,0,2010,\N,83,Fantasy
108,movie,Hempsters: Plant the Seed,Hempsters: Plant the Seed,0,2010,\N,90,Documentary
109,video,Destination Fame,Destination Fame,0,2012,\N,\N,"Drama,Musical"
110,movie,Disconnect,Disconnect,0,2010,\N,112,"Drama,Mystery,Sci-Fi"
111,movie,The Stanford Prison Experiment,The Stanford Prison Experiment,0,2015,\N,122,"Biography,Drama,History"
112,short,Nonkina tosan Yamazaki kaido,Nonkina tosan Yamazaki kaido,0,2016,\N,\N,"Animation,Comedy,Short"
113,tvMovie,Hemingway & Gellhorn,Hemingway & Gellhorn,0,2012,\N,155,"Biography,Drama,Romance"
114,movie,Venus & Vegas,Venus & Vegas,0,2010,\N,95,"Action,Comedy,Crime"
115,movie,The Ninth Cloud,The Ninth Cloud,0,2014,\N,93,Drama
116,movie,El borde del tiempo,El borde del tiempo,0,2011,\N,100,Drama
117,movie,Beisbol,Beisbol,0,2010,\N,\N,Documentary
118,movie,Pots and Pans,Acorralados,0,2012,\N,\N,Drama
119,movie,Dinner for Schmucks,Dinner for Schmucks,0,2010,\N,114,Comedy
120,movie,Masters of the Universe,Masters of the Universe,0,2019,\N,\N,"Action,Adventure,Drama"
121,movie,The A-Team,The A-Team,0,2010,\N,117,"Action,Adventure,Comedy"
122,movie,The Rescuer,The Rescuer,0,2011,\N,84,Documentary
123,movie,The Possession,The Possession,0,2012,\N,92,"Horror,Thriller"
124,short,In absentia,In absentia,0,2013,\N,41,"Drama,Romance,Short"
125,movie,The Queen of Sheba Meets the Atom Man,The Queen of Sheba Meets the Atom Man,0,2018,\N,110,Comedy
126,video,Monster Mountain,Monster Mountain,0,2012,\N,91,"Horror,Sci-Fi"
127,movie,Real Steel,Real Steel,0,2011,\N,127,"Action,Drama,Family"
128,movie,Satin,Satin,0,2011,\N,84,"Comedy,Drama,Music"
129,movie,Caleuche: El llamado del Mar,Caleuche: El llamado del Mar,0,2012,\N,100,"Drama,Fantasy,Horror"
130,movie,L'apocalisse delle scimmie,L'apocalisse delle scimmie,0,2012,\N,\N,Drama
131,movie,The Giver,The Giver,0,2014,\N,97,"Drama,Romance,Sci-Fi"
132,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy"
133,movie,Project x27,The Devil Inside,0,2010,\N,\N,"Horror,Thriller"
134,movie,Alita: Battle Angel,Alita: Battle Angel,0,2018,\N,\N,"Action,Adventure,Romance"
135,movie,"Cargo, les hommes perdus.","Cargo, les hommes perdus.",0,2010,\N,93,"Adventure,Romance"
136,movie,Untitled The Flash Film,Untitled The Flash Film,0,2020,\N,\N,"Action,Adventure,Fantasy"
137,movie,Moving Target,Moving Target,0,2011,\N,\N,"Drama,Thriller"
138,movie,Segurança Nacional,Segurança Nacional,0,2010,\N,86,Action
139,movie,Stolen Memories,Stolen Memories,0,2012,\N,\N,Documentary
140,movie,My Nappy Roots: A Journey Through Black Hair-itage,My Nappy Roots: A Journey Through Black Hair-itage,0,2010,\N,90,Documentary
141,movie,Danger Close,Danger Close,0,2019,\N,\N,"Action,Drama,War"
142,movie,Lincoln,Lincoln,0,2012,\N,150,"Biography,Drama,History"
143,movie,Milenge Milenge,Milenge Milenge,0,2010,\N,109,"Drama,Romance"
144,movie,Before We Go,Before We Go,0,2014,\N,95,"Comedy,Drama,Romance"
145,movie,The History of Love,The History of Love,0,2016,\N,134,"Drama,Romance,War"
146,movie,Vidas pequeñas,Vidas pequeñas,0,2010,\N,115,Drama
147,movie,7 Days,Les 7 jours du talion,0,2010,\N,105,"Crime,Drama,Horror"
148,movie,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,0,2010,\N,112,"Action,Comedy,Romance"
149,tvMovie,The Corrections,The Corrections,0,2012,\N,\N,Drama
150,movie,Dream Street,Dream Street,0,2010,\N,\N,Drama
151,movie,Surviving in L.A.,Surviving in L.A.,0,2018,\N,\N,"Comedy,Drama,Romance"
152,movie,A Bird of the Air,A Bird of the Air,0,2011,\N,108,"Drama,Romance"
153,movie,Shazam!,Shazam!,0,2019,\N,\N,"Action,Fantasy,Sci-Fi"
154,tvSeries,Tanging yaman,Tanging yaman,0,2010,\N,\N,Drama
155,movie,Puss in Boots,Puss in Boots,0,2011,\N,90,"Action,Adventure,Animation"
